vol,ask,bid,open,close,high,low,start,end
617804,35513,35501,0,1422.25,1424.25,1416.75,0001-01-01 00:00:00,2006-01-05 16:15:00
811020,40014.75,40001.5,1427.75,1433,1434,1422.25,2006-01-06 09:30:00,2006-01-06 16:15:00
745308,40185,40171.25,1432,1436,1438.5,1431.75,2006-01-09 09:30:00,2006-01-09 16:15:00
837414,40159.25,40145.75,1430.75,1437.25,1437.75,1430.5,2006-01-10 09:30:00,2006-01-10 16:15:00
793667,40277.25,40264.25,1438.25,1440.75,1442,1434.5,2006-01-11 09:30:00,2006-01-11 16:15:00
727940,40246,40232.75,1439,1434.75,1440,1431.5,2006-01-12 09:30:00,2006-01-12 16:15:00
663343,40124,40110.25,1432.75,1433.25,1435.75,1428.75,2006-01-13 09:30:00,2006-01-13 16:15:00
8759,12921.75,12917.5,1434.25,1435.75,1436.25,1434.25,2006-01-16 09:30:00,2006-01-16 18:15:00
699234,39999.75,39986,1428.75,1430,1431,1424.5,2006-01-17 09:30:00,2006-01-17 16:15:00
1024484,39840.75,39827.25,1422.25,1424.5,1428.75,1417.75,2006-01-18 09:30:00,2006-01-18 16:15:00
879882,40027.5,40014,1427.75,1429.25,1434,1424.25,2006-01-19 09:30:00,2006-01-19 16:15:00
1534338,39684.75,39670.75,1427.5,1405.5,1430,1405.25,2006-01-20 09:30:00,2006-01-20 16:15:00
813378,39487.75,39474.75,1408.25,1410.5,1413.75,1407,2006-01-23 09:30:00,2006-01-23 16:15:00
902980,39572.5,39559,1412.5,1411.25,1417.25,1409.5,2006-01-24 09:30:00,2006-01-24 16:15:00
1200426,39501.75,39487.75,1414.5,1411.75,1417,1403.25,2006-01-25 09:30:00,2006-01-25 16:15:00
864484,39698.75,39685,1417.75,1418.75,1421.75,1412.5,2006-01-26 09:30:00,2006-01-26 16:15:00
766074,39978.75,39964.75,1420.5,1430.25,1431.5,1419.5,2006-01-27 09:30:00,2006-01-27 16:15:00
489471,40062.5,40049.25,1429.75,1429.25,1432.75,1428.25,2006-01-30 09:30:00,2006-01-30 16:15:00
920813,39921.75,39907.75,1428,1420,1430,1419.5,2006-01-31 09:30:00,2006-01-31 16:15:00
907849,39897.75,39883.75,1422.25,1428,1428.5,1421.25,2006-02-01 09:30:00,2006-02-01 16:15:00
0,0,0,1413.5,1413.5,-1.79769313486232E+308,1.79769313486232E+308,2006-02-02 22:15:00,2006-02-02 22:15:00
867054,39479.75,39466,1409.25,1406.5,1415,1404.5,2006-02-03 09:30:00,2006-02-03 16:15:00
924526,39284.75,39270.75,1406.75,1398.25,1409.75,1397,2006-02-07 09:30:00,2006-02-07 16:15:00
697582,35110,35097.5,0,1409,1410.75,1398.75,2006-02-07 09:30:00,2006-02-08 16:15:00
866611,39596.25,39582.5,1411.25,1406.75,1418.75,1406.25,2006-02-09 09:30:00,2006-02-09 16:15:00
946598,39364.25,39350.25,1406,1409,1414,1398,2006-02-10 09:30:00,2006-02-10 16:15:00
614434,39401.5,39387.75,1407.75,1407,1410.25,1401.5,2006-02-13 09:30:00,2006-02-13 16:15:00
1059681,39619,39605,1407.75,1419.25,1422.5,1404,2006-02-14 09:30:00,2006-02-14 16:15:00
922309,39764,39750.5,1418.25,1423.25,1424.75,1413.75,2006-02-15 09:30:00,2006-02-15 16:15:00
756420,39974.5,39960.75,1424.75,1433,1433.75,1423.25,2006-02-16 09:30:00,2006-02-16 16:15:00
499668,40064.75,40051,1432,1429.75,1433.25,1427,2006-02-17 09:30:00,2006-02-17 16:15:00
2964,12868.75,12864.5,1429,1429.25,1430,1428.75,2006-02-20 09:30:00,2006-02-20 18:15:00
662042,39985,39971.75,1433,1426.25,1435.25,1424,2006-02-21 09:30:00,2006-02-21 16:15:00
719230,40145.25,40131.75,1428.5,1433,1437.25,1427.25,2006-02-22 09:30:00,2006-02-22 16:15:00
693548,40137,40123.5,1432.5,1431.25,1437,1427.5,2006-02-23 09:30:00,2006-02-23 16:15:00
484646,40105,40091.25,1431,1434.5,1435.25,1428,2006-02-24 09:30:00,2006-02-24 16:15:00
545085,40272.25,40258.5,1435,1435,1440.75,1433,2006-02-27 09:30:00,2006-02-27 16:15:00
1079568,39925.75,39912.25,1432.5,1422.5,1433,1421,2006-02-28 09:30:00,2006-02-28 16:15:00
670714,40054.5,40040.5,1425.25,1433,1434.5,1424.5,2006-03-01 09:30:00,2006-03-01 16:15:00
883516,40028.75,40014.75,1429.25,1432.5,1433.5,1425.25,2006-03-02 09:30:00,2006-03-02 16:15:00
986525,40112.5,40098.5,1425.5,1427,1440,1425.25,2006-03-03 09:30:00,2006-03-03 16:15:00
821378,39673.75,39659.75,1417,1418.5,1419.5,1412.75,2006-03-07 09:30:00,2006-03-07 16:15:00
900365,39682.25,39668.5,1415,1421,1422.75,1409.75,2006-03-08 09:30:00,2006-03-08 16:15:00
654547,39764,39750,1422,1412.5,1424.75,1412.25,2006-03-09 09:30:00,2006-03-09 16:15:00
892983,39800.5,39787,1417,1423.75,1426.25,1412.25,2006-03-10 09:30:00,2006-03-10 16:15:00
